x_axis,y_axis,은행명,은행코드,점포명,주소,주소_변환
127.0819863,37.5114431,국민,43818,신천역,서울특별시 송파구 올림픽로 102 서일빌딩,서울 송파구 올림픽로 102 (잠실동)
127.0543152,37.4880818,국민,43834,도곡타워팰리스,서울특별시 강남구 도곡동 467,서울시 강남구 도곡동 467－14
126.8921339,37.5063422,국민,43847,신도림역,서울특별시 구로구 새말로 110 세아베스틸,서울 구로구 새말로 110 (구로동)
126.9308432,37.5211184,국민,43876,동여의도,서울특별시 영등포구 국제금융로 72,서울 영등포구 국제금융로 72 (여의도동，호정빌딩)
126.8877039,37.5095178,국민,43928,신도림,서울특별시 구로구 경인로 661 신도림1차푸르지오,서울 구로구 경인로 661 (신도림동，신도림1차푸르지오아파트)
126.9794954,37.5668158,국민,43931,예금보험공사（출）,서울특별시 중구 을지로1가 32,서울 중구 을지로1가 32번지 효덕빌딩
126.9674929,37.5633647,국민,47270,경찰청（점）,서울특별시 서대문구 통일로 97 경찰청,서울 서대문구 통일로 97 (미근동)
127.0302046,37.5741509,국민,47296,신용두,서울특별시 동대문구 천호대로 63,서울 동대문구 천호대로 63 (용두동)
127.0272455,37.5262734,국민,47306,압구정역,서울특별시 강남구 압구정로 160 제성빌딩,서울 강남구 압구정로 160 (신사동)
126.8790476,37.5357335,국민,47432,목동파리공원,서울특별시 양천구 목동동로 381,서울 양천구 목동동로 381 (목동)
126.896543,37.5266641,국민,47526,영등포구청역,서울특별시 영등포구 당산로 133 서림빌딩,서울 영등포구 당산로 133， (서림빌딩내1층) (당산동3가)
127.035179,37.5037603,국민,47542,역삼역,서울특별시 강남구 논현로 531 윤성빌딩,서울 강남구 논현로 531， 1층 (역삼동，윤성빌딩)
